# Configuration des tuiles pour le jeu Zelda
# Format: index,nom_fichier,collision
# collision: true = solide, false = traversable
198,image_part_199.png,true
199,image_part_200.png,true
200,image_part_201.png,true
201,image_part_202.png,true
202,image_part_203.png,true
203,image_part_204.png,true
204,image_part_205.png,true
205,image_part_206.png,true
206,image_part_207.png,true
207,image_part_208.png,true
208,image_part_209.png,true
209,image_part_210.png,true
210,image_part_211.png,true
211,image_part_212.png,false
212,image_part_213.png,false
213,image_part_214.png,true
214,image_part_215.png,true
215,image_part_216.png,true
216,image_part_217.png,false
217,image_part_218.png,true
218,image_part_219.png,true
219,image_part_220.png,true
220,image_part_221.png,true
221,image_part_222.png,true
222,image_part_223.png,true
223,image_part_224.png,true
224,image_part_225.png,true
225,image_part_226.png,true
226,image_part_227.png,true
227,image_part_228.png,true
228,image_part_229.png,true
229,image_part_230.png,true
230,image_part_231.png,true
231,image_part_232.png,true
232,image_part_233.png,true
233,image_part_234.png,true
234,image_part_235.png,true
235,image_part_236.png,true
236,image_part_237.png,true
237,image_part_238.png,true
238,image_part_239.png,true
239,image_part_240.png,true
240,image_part_241.png,true
241,image_part_242.png,true
242,image_part_243.png,true
243,image_part_244.png,true
244,image_part_245.png,true
245,image_part_246.png,true
246,image_part_247.png,false
247,image_part_248.png,false
248,image_part_249.png,true
249,image_part_250.png,true
250,image_part_251.png,true
251,image_part_252.png,true
252,image_part_253.png,true
253,image_part_254.png,false
254,image_part_255.png,false
255,image_part_256.png,true

